"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2020-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-09,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-03-15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-03-16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-03-17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-03-18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-03-19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-03-20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-03-21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-03-22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-03-23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-03-24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-03-25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-03-26,21,2,1.76140707883454,0.0640294284357625,1.6396149321133,1.65814305914326,1.71746204217313,1.76056169243334,1.80417790221681,1.8682718844911,1.89003422559213
"22",2020-03-27,22,3,1.76076185986695,0.0605219723072478,1.64439123579787,1.66195220731156,1.71929605360419,1.75983024444918,1.8016525781536,1.8608110229323,1.88167425975177
"23",2020-03-28,23,4,1.67127639167502,0.0555241449250732,1.56420151775164,1.5816930488091,1.63350068012486,1.67078360654426,1.70821937969886,1.76437377185385,1.78128978066545
"24",2020-03-29,24,5,1.58544579368054,0.0501662344599897,1.48875940624583,1.50379988053771,1.55079207559416,1.5853441687681,1.61900003273124,1.66872736598709,1.68442665500324
"25",2020-03-30,25,6,1.47311520800825,0.0448001773175293,1.38758542336475,1.40016940707008,1.44239076287978,1.47288246457031,1.50307529146079,1.54792866371094,1.56140304056993
"26",2020-03-31,26,7,1.36501062495604,0.0395201117341546,1.28899165366523,1.30091713843836,1.33788844064146,1.36463930239881,1.39134153572781,1.43103170678169,1.44419837777684
"27",2020-04-01,27,8,1.29034894359449,0.035248397995961,1.22227575230198,1.23280695940023,1.2662144097782,1.28979374889686,1.31380982133739,1.34980879742525,1.36118351787312
"28",2020-04-02,28,9,1.26300761153176,0.0331426337277803,1.19883229653265,1.20892562933291,1.24074452487065,1.26277497041762,1.28489984209676,1.31835780281755,1.32872777611668
"29",2020-04-03,29,10,1.20532614547409,0.0305547520441546,1.14640241004774,1.15547104603435,1.18465683642278,1.20479819993205,1.22585136896656,1.25607134196203,1.26565619132454
"30",2020-04-04,30,11,1.15111395087999,0.0286727077030606,1.09597443896593,1.10438836317295,1.13144830559284,1.15114896412098,1.17031198992266,1.19855132359761,1.20775834073483
"31",2020-04-05,31,12,1.10383222899795,0.0271690910318063,1.05206948349603,1.05992393747001,1.08532859506388,1.1036676291268,1.12182692512033,1.14899578035845,1.15774950104441
"32",2020-04-06,32,13,1.06036205115243,0.0261023368913084,1.00999510962303,1.01777082857498,1.04287963898411,1.06006216464926,1.07789218578144,1.10357458663233,1.11255651036127
"33",2020-04-07,33,14,1.01993711566048,0.0250989422665931,0.971095919834639,0.978673890902059,1.00293471977435,1.01974803596077,1.03672296264953,1.06180812537078,1.0699477085848
