"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2020-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-09,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-03-15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-03-16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-03-17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-03-18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-03-19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-03-20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-03-21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-03-22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-03-23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-03-24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-03-25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-03-26,21,2,1.96696317510326,0.173829293499226,1.64245347660619,1.69088024585008,1.84572725785935,1.96257529793268,2.07988399445034,2.263621047189,2.32305969759627
"22",2020-03-27,22,3,1.70606821269614,0.149333154339162,1.4271815349363,1.46634138446772,1.60411132249454,1.70124168144512,1.80491909968597,1.95679606382289,2.01188319792419
"23",2020-03-28,23,4,1.63592362360782,0.134634922521493,1.38134793369236,1.42028014360313,1.54308010042533,1.63270123793835,1.72566819196279,1.86260076862183,1.9105131920718
"24",2020-03-29,24,5,1.62154831266741,0.126623986868812,1.38316883067493,1.41910458436679,1.53349581446886,1.61833965935451,1.70516373145466,1.83639721857213,1.87687069636118
"25",2020-03-30,25,6,1.46300295021511,0.112395250313386,1.25128862973105,1.2832131897056,1.3849000500635,1.46024157662117,1.53736941859186,1.65308001308082,1.69308805497095
"26",2020-03-31,26,7,1.34009355033551,0.100671955205979,1.15085229450381,1.18024857607689,1.2710826170992,1.33756555869765,1.40641103206134,1.50877421602408,1.54520663720213
"27",2020-04-01,27,8,1.30954597070922,0.0953105655572404,1.13105532886568,1.15715301920006,1.24410462323216,1.30735352700945,1.37279496545916,1.47063488554086,1.50512090728341
"28",2020-04-02,28,9,1.23411760732966,0.0884611056816833,1.06728004263999,1.09161128659296,1.17364759253083,1.23181241145453,1.2932092331573,1.38204411620076,1.41097535247152
"29",2020-04-03,29,10,1.26913022847764,0.0872790324670836,1.10344246453293,1.12954673440576,1.20929476859658,1.26688426550065,1.32685414661207,1.4164295759938,1.44631459075267
"30",2020-04-04,30,11,1.21377426872146,0.0828496420825565,1.05602913064074,1.08168029282761,1.15719711409036,1.21163426428431,1.26843737577557,1.35326321131301,1.38183281329448
"31",2020-04-05,31,12,1.15878070539062,0.0786583039993051,1.00881977858707,1.03162468400087,1.10521738568888,1.15713356921824,1.210639270287,1.29276392942778,1.31899375462507
"32",2020-04-06,32,13,1.09516962405226,0.0751665476677462,0.952774418501271,0.974286586849028,1.04370130470211,1.09335037571774,1.14458748133527,1.22139112948856,1.24724878305405
"33",2020-04-07,33,14,1.05602408796245,0.0725295092461413,0.918838061776583,0.939435266472982,1.00629531498127,1.05465580133731,1.10372968068209,1.17753855660023,1.20324594009933
